N°,Imagen,Marca,Modelo,Año Modelo,Motor,Transmisión,Concesionario,Campaña,Garantía,Condiciones,
1,autoespar_toyota_corolla_cross_2025.jpg,Toyota,Corolla Cross Híbrido Eléctrico,2025,1.8 Híbrido,Automático,Autoespar S.A.,Outlet 0KM - Últimas Unidades,"Hasta 10 años o 200,000 km",Imagen referencial. Sujeto a términos y condiciones. Campaña disponible hasta agotar stock.,
2,autoespar_toyota_agya_glp.jpg,Toyota,Agya,No especificado,Conversión a GLP,No especificado,Autoespar,TOYOTA ¡YA! - Tu nuevo socio productivo con GLP GRATIS,No especificado,Sujeto a términos y condiciones. Imagen referencial. Sujeto a financiamiento con MAF.,
3,autoespar_feria_taxista_mi_ruta_mi_chamba.jpg,Toyota,Avanza y Yaris,No especificado,No especificado,No especificado,Autoespar,Feria del Taxista - Mi Ruta Mi Chamba,No especificado,Miércoles 06 de mayo de 10:00 a.m. a 2:00 p.m. en el Club Metropolitano Huayna Cápac,Participación del Ministerio de Transportes y Comunicaciones (MTC) y ATU
4,autoespar_toyota_raize_momento_mama01.jpg,Toyota,Raize,No especificado,No especificado,No especificado,Autoespar,TOYOTA ¡YA! - El momento de mamá es ahora,"Hasta 10 años o 200,000 km",Imagen referencial. Sujeto a términos y condiciones. Cuota sujeto a financiamiento MAF. Campaña disponible del 1 al 31 de Mayo del 2026.,"Cuota mensual desde S/ 539, Te damos el mejor precio por tu auto usado (en parte de pago)"
5,autoespar_toyota_yaris_cross_momento_mama.jpg,Toyota,Yaris Cross,No especificado,No especificado,No especificado,Autoespar,TOYOTA ¡YA! - El momento de mamá es ahora,"Hasta 10 años o 200,000 km",Imagen referencial. Sujeto a términos y condiciones. Cuota sujeto a financiamiento MAF. Campaña disponible del 1 al 31 de Mayo del 2026.,"Cuota mensual desde S/ 759, Te damos el mejor precio por tu auto usado (en parte de pago)"
6,autoespar_toyota_agya_momento_mama02.jpg,Toyota,Agya,No especificado,No especificado,No especificado,Autoespar,TOYOTA ¡YA! - El momento de mamá es ahora,"Hasta 10 años o 200,000 km",Imagen referencial. Sujeto a términos y condiciones. Cuota sujeto a financiamiento MAF. Campaña disponible del 1 al 31 de Mayo del 2026.,"Cuota mensual desde S/ 449, Te damos el mejor precio por tu auto usado (en parte de pago)"
7,autoespar_toyota_yaris_momento_mama.jpg,Toyota,Yaris,No especificado,No especificado,No especificado,Autoespar,TOYOTA ¡YA! - El momento de mamá es ahora,"Hasta 10 años o 200,000 km",Imagen referencial. Sujeto a términos y condiciones. Cuota sujeto a financiamiento MAF. Campaña disponible del 1 al 31 de Mayo del 2026.,"Cuota mensual desde S/ 719, Te damos el mejor precio por tu auto usado (en parte de pago)"
8,autoespar_toyota_rush_momento_mama.jpg,Toyota,Rush,No especificado,No especificado,No especificado,Autoespar,TOYOTA ¡YA! - El momento de mamá es ahora,"Hasta 10 años o 200,000 km",Imagen referencial. Sujeto a términos y condiciones. Cuota sujeto a financiamiento MAF. Campaña disponible del 1 al 31 de Mayo del 2026.,"Cuota mensual desde S/ 789, Te damos el mejor precio por tu auto usado (en parte de pago)"
9,autoespar_toyota_corolla_cross_momento_mama.jpg,Toyota,Corolla Cross,No especificado,No especificado,No especificado,Autoespar,TOYOTA ¡YA! - El momento de mamá es ahora,"Hasta 10 años o 200,000 km",Imagen referencial. Sujeto a términos y condiciones. Cuota sujeto a financiamiento MAF. Campaña disponible del 1 al 31 de Mayo del 2026.,"Cuota mensual desde S/ 889, Te damos el mejor precio por tu auto usado (en parte de pago)"
10,autoespar_ganadores_cuida_tu_toyota_mama.jpg,Toyota,No especificado,No especificado,No especificado,No especificado,Autoespar,Cuida tu Toyota y sorprende a Mamá - ¡Conoce a los ganadores!,No especificado,No especificado,Ganadores: Felix Elias Cuevas Chancahuaña (Sede: ICA) y Adolfer Coronel Gavidia (Sede: FIORI)
11,autoespar_toyota_corolla_cross_outlet_2025.jpg,Toyota,Corolla Cross Híbrido Eléctrico,2025,1.8 Híbrido,Automático,Autoespar S.A.,Outlet 0KM - Últimas Unidades,"Hasta 10 años o 200,000 km",Imagen referencial. Sujeto a términos y condiciones. Campaña disponible hasta agotar stock.,No especificado
