variant,placement,path,prompt,negative_prompt,seed,width,height,model,lora_dir,latency_sec,error,clip_text_image_similarity,max_clip_image_similarity_to_training_set,brand_consistency_score,layout_quality_score,vehicle_quality_score,legal_bar_present,notes
base,website_hero,/content/dmc-tp3-gen-multimodal/diffusion_lora/generated/base/website_hero_base_seed_3407.png,"AUTOESPAR dealership automotive advertisement, TOYOTA Corolla Cross Hybrid Electric 2025, realistic Toyota SUV hero image, clean commercial dealership campaign design, red white and black brand color palette, bold promotional headline blocks, blank Call To Action area, dealership logo placement, Toyota brand badge placement, small unreadable legal footer bar, polished automotive reflections, crisp vehicle proportions, high quality advertising layout, website hero banner, wide 16:9 dealership campaign layout, vehicle centered, clean headline space on the left, Call To Action (CTA) block on the right, clear AUTOESPAR dealership identity, clear TOYOTA brand presence, professional automotive retail campaign","blurry, low quality, distorted car, deformed wheels, extra wheels, broken headlights, bad perspective, warped logo, misspelled logo, readable phone number, readable price, readable legal text, random letters, gibberish text, cluttered layout, cropped vehicle, watermark, jpeg artifacts, distorted people",3407,768,432,stabilityai/stable-diffusion-xl-base-1.0,,7.379697315000158,,0.2674694061279297,0.651056170463562,,,,,
lora,website_hero,/content/dmc-tp3-gen-multimodal/diffusion_lora/generated/lora/website_hero_lora_seed_3407.png,"AUTOESPAR dealership automotive advertisement, TOYOTA Corolla Cross Hybrid Electric 2025, realistic Toyota SUV hero image, clean commercial dealership campaign design, red white and black brand color palette, bold promotional headline blocks, blank Call To Action area, dealership logo placement, Toyota brand badge placement, small unreadable legal footer bar, polished automotive reflections, crisp vehicle proportions, high quality advertising layout, website hero banner, wide 16:9 dealership campaign layout, vehicle centered, clean headline space on the left, Call To Action (CTA) block on the right, clear AUTOESPAR dealership identity, clear TOYOTA brand presence, professional automotive retail campaign","blurry, low quality, distorted car, deformed wheels, extra wheels, broken headlights, bad perspective, warped logo, misspelled logo, readable phone number, readable price, readable legal text, random letters, gibberish text, cluttered layout, cropped vehicle, watermark, jpeg artifacts, distorted people",3407,768,432,stabilityai/stable-diffusion-xl-base-1.0,/content/dmc-tp3-gen-multimodal/diffusion_lora/lora_adapter,7.983130278000317,,0.21379320323467255,0.6587772369384766,,,,,
base,instagram_feed,/content/dmc-tp3-gen-multimodal/diffusion_lora/generated/base/instagram_feed_base_seed_3408.png,"AUTOESPAR dealership automotive advertisement, TOYOTA Corolla Cross Hybrid Electric 2025, realistic Toyota SUV hero image, clean commercial dealership campaign design, red white and black brand color palette, bold promotional headline blocks, blank Call To Action area, dealership logo placement, Toyota brand badge placement, small unreadable legal footer bar, polished automotive reflections, crisp vehicle proportions, high quality advertising layout, Instagram feed ad, square social media ad layout, vehicle centered, bold red white black graphic blocks, compact Call To Action area, clear AUTOESPAR dealership identity, clear TOYOTA brand presence, professional automotive retail campaign","blurry, low quality, distorted car, deformed wheels, extra wheels, broken headlights, bad perspective, warped logo, misspelled logo, readable phone number, readable price, readable legal text, random letters, gibberish text, cluttered layout, cropped vehicle, watermark, jpeg artifacts, distorted people",3408,640,640,stabilityai/stable-diffusion-xl-base-1.0,,9.357275160999961,,0.2304263859987259,0.6859168410301208,,,,,
lora,instagram_feed,/content/dmc-tp3-gen-multimodal/diffusion_lora/generated/lora/instagram_feed_lora_seed_3408.png,"AUTOESPAR dealership automotive advertisement, TOYOTA Corolla Cross Hybrid Electric 2025, realistic Toyota SUV hero image, clean commercial dealership campaign design, red white and black brand color palette, bold promotional headline blocks, blank Call To Action area, dealership logo placement, Toyota brand badge placement, small unreadable legal footer bar, polished automotive reflections, crisp vehicle proportions, high quality advertising layout, Instagram feed ad, square social media ad layout, vehicle centered, bold red white black graphic blocks, compact Call To Action area, clear AUTOESPAR dealership identity, clear TOYOTA brand presence, professional automotive retail campaign","blurry, low quality, distorted car, deformed wheels, extra wheels, broken headlights, bad perspective, warped logo, misspelled logo, readable phone number, readable price, readable legal text, random letters, gibberish text, cluttered layout, cropped vehicle, watermark, jpeg artifacts, distorted people",3408,640,640,stabilityai/stable-diffusion-xl-base-1.0,/content/dmc-tp3-gen-multimodal/diffusion_lora/lora_adapter,10.2703467249994,,0.26005852222442627,0.6741620898246765,,,,,
base,vertical_mobile_ad,/content/dmc-tp3-gen-multimodal/diffusion_lora/generated/base/vertical_mobile_ad_base_seed_3409.png,"AUTOESPAR dealership automotive advertisement, TOYOTA Corolla Cross Hybrid Electric 2025, realistic Toyota SUV hero image, clean commercial dealership campaign design, red white and black brand color palette, bold promotional headline blocks, blank Call To Action area, dealership logo placement, Toyota brand badge placement, small unreadable legal footer bar, polished automotive reflections, crisp vehicle proportions, high quality advertising layout, vertical mobile ad, vertical 9:16 mobile campaign layout, dealership branding at the top, vehicle hero image in the center, legal footer bar at the bottom, clear AUTOESPAR dealership identity, clear TOYOTA brand presence, professional automotive retail campaign","blurry, low quality, distorted car, deformed wheels, extra wheels, broken headlights, bad perspective, warped logo, misspelled logo, readable phone number, readable price, readable legal text, random letters, gibberish text, cluttered layout, cropped vehicle, watermark, jpeg artifacts, distorted people",3409,432,768,stabilityai/stable-diffusion-xl-base-1.0,,8.403448638000555,,0.19898685812950134,0.6462218165397644,,,,,
lora,vertical_mobile_ad,/content/dmc-tp3-gen-multimodal/diffusion_lora/generated/lora/vertical_mobile_ad_lora_seed_3409.png,"AUTOESPAR dealership automotive advertisement, TOYOTA Corolla Cross Hybrid Electric 2025, realistic Toyota SUV hero image, clean commercial dealership campaign design, red white and black brand color palette, bold promotional headline blocks, blank Call To Action area, dealership logo placement, Toyota brand badge placement, small unreadable legal footer bar, polished automotive reflections, crisp vehicle proportions, high quality advertising layout, vertical mobile ad, vertical 9:16 mobile campaign layout, dealership branding at the top, vehicle hero image in the center, legal footer bar at the bottom, clear AUTOESPAR dealership identity, clear TOYOTA brand presence, professional automotive retail campaign","blurry, low quality, distorted car, deformed wheels, extra wheels, broken headlights, bad perspective, warped logo, misspelled logo, readable phone number, readable price, readable legal text, random letters, gibberish text, cluttered layout, cropped vehicle, watermark, jpeg artifacts, distorted people",3409,432,768,stabilityai/stable-diffusion-xl-base-1.0,/content/dmc-tp3-gen-multimodal/diffusion_lora/lora_adapter,8.46203064599922,,0.3180704414844513,0.727908730506897,,,,,
base,dealership_poster,/content/dmc-tp3-gen-multimodal/diffusion_lora/generated/base/dealership_poster_base_seed_3410.png,"AUTOESPAR dealership automotive advertisement, TOYOTA Corolla Cross Hybrid Electric 2025, realistic Toyota SUV hero image, clean commercial dealership campaign design, red white and black brand color palette, bold promotional headline blocks, blank Call To Action area, dealership logo placement, Toyota brand badge placement, small unreadable legal footer bar, polished automotive reflections, crisp vehicle proportions, high quality advertising layout, dealership poster, vertical print poster layout, large vehicle hero image, strong promotional headline block, structured dealership branding, clear AUTOESPAR dealership identity, clear TOYOTA brand presence, professional automotive retail campaign","blurry, low quality, distorted car, deformed wheels, extra wheels, broken headlights, bad perspective, warped logo, misspelled logo, readable phone number, readable price, readable legal text, random letters, gibberish text, cluttered layout, cropped vehicle, watermark, jpeg artifacts, distorted people",3410,640,832,stabilityai/stable-diffusion-xl-base-1.0,,11.902226815999711,,0.2433396577835083,0.6930211782455444,,,,,
lora,dealership_poster,/content/dmc-tp3-gen-multimodal/diffusion_lora/generated/lora/dealership_poster_lora_seed_3410.png,"AUTOESPAR dealership automotive advertisement, TOYOTA Corolla Cross Hybrid Electric 2025, realistic Toyota SUV hero image, clean commercial dealership campaign design, red white and black brand color palette, bold promotional headline blocks, blank Call To Action area, dealership logo placement, Toyota brand badge placement, small unreadable legal footer bar, polished automotive reflections, crisp vehicle proportions, high quality advertising layout, dealership poster, vertical print poster layout, large vehicle hero image, strong promotional headline block, structured dealership branding, clear AUTOESPAR dealership identity, clear TOYOTA brand presence, professional automotive retail campaign","blurry, low quality, distorted car, deformed wheels, extra wheels, broken headlights, bad perspective, warped logo, misspelled logo, readable phone number, readable price, readable legal text, random letters, gibberish text, cluttered layout, cropped vehicle, watermark, jpeg artifacts, distorted people",3410,640,832,stabilityai/stable-diffusion-xl-base-1.0,/content/dmc-tp3-gen-multimodal/diffusion_lora/lora_adapter,12.237922225999682,,0.22386780381202698,0.697777271270752,,,,,
base,highway_billboard,/content/dmc-tp3-gen-multimodal/diffusion_lora/generated/base/highway_billboard_base_seed_3411.png,"AUTOESPAR dealership automotive advertisement, TOYOTA Corolla Cross Hybrid Electric 2025, realistic Toyota SUV hero image, clean commercial dealership campaign design, red white and black brand color palette, bold promotional headline blocks, blank Call To Action area, dealership logo placement, Toyota brand badge placement, small unreadable legal footer bar, polished automotive reflections, crisp vehicle proportions, high quality advertising layout, highway billboard, ultra wide billboard layout, large vehicle silhouette, short promotional headline block, strong dealership branding, clear AUTOESPAR dealership identity, clear TOYOTA brand presence, professional automotive retail campaign","blurry, low quality, distorted car, deformed wheels, extra wheels, broken headlights, bad perspective, warped logo, misspelled logo, readable phone number, readable price, readable legal text, random letters, gibberish text, cluttered layout, cropped vehicle, watermark, jpeg artifacts, distorted people",3411,896,384,stabilityai/stable-diffusion-xl-base-1.0,,7.764064164999581,,0.22896409034729004,0.7530585527420044,,,,,
lora,highway_billboard,/content/dmc-tp3-gen-multimodal/diffusion_lora/generated/lora/highway_billboard_lora_seed_3411.png,"AUTOESPAR dealership automotive advertisement, TOYOTA Corolla Cross Hybrid Electric 2025, realistic Toyota SUV hero image, clean commercial dealership campaign design, red white and black brand color palette, bold promotional headline blocks, blank Call To Action area, dealership logo placement, Toyota brand badge placement, small unreadable legal footer bar, polished automotive reflections, crisp vehicle proportions, high quality advertising layout, highway billboard, ultra wide billboard layout, large vehicle silhouette, short promotional headline block, strong dealership branding, clear AUTOESPAR dealership identity, clear TOYOTA brand presence, professional automotive retail campaign","blurry, low quality, distorted car, deformed wheels, extra wheels, broken headlights, bad perspective, warped logo, misspelled logo, readable phone number, readable price, readable legal text, random letters, gibberish text, cluttered layout, cropped vehicle, watermark, jpeg artifacts, distorted people",3411,896,384,stabilityai/stable-diffusion-xl-base-1.0,/content/dmc-tp3-gen-multimodal/diffusion_lora/lora_adapter,8.181523234999986,,0.21835726499557495,0.714754581451416,,,,,
