Campaign_Goal,Target_Audience,Channel_Used,Customer_Segment,Location,Language,Duration,Conversion_Rate,Acquisition_Cost,ROI,Clicks,Impressions,Engagement_Score,Company
Brand Awareness,Women 18-24,Instagram,Fashion,Miami,Spanish,7 Days,0.025,$85,0.85,215,12000,4.4,NovaMarket
Increase Sales,Men 35-44,Email,Beauty,Austin,English,14 Days,0.043,$104,0.95,254,13379,4.55,Altura Media
Lead Generation,Professionals 25-45,LinkedIn,Travel,Lima,Spanish,21 Days,0.037,$198,0.93,295,14758,5.1,BrightWave
Product Launch,Women 25-34,Facebook,Finance,Bogota,English,45 Days,0.043,$142,1.11,338,16137,5.65,Pixel Norte
Customer Retention,Men 45-60,Google Ads,Education,Mexico City,Spanish,10 Days,0.049,$236,1.13,385,17516,6.2,Mercurio Labs
Brand Awareness,Students 18-24,YouTube,Fitness,Santiago,English,15 Days,0.055,$180,1.31,434,18895,6.75,Andes Digital
Increase Sales,Men 25-34,TikTok,Food,New York,Spanish,30 Days,0.073,$199,1.49,486,20274,7.7,BlueRoute
Lead Generation,Parents 30-45,Instagram,Technology,Los Angeles,English,7 Days,0.067,$218,1.54,541,21653,8.25,UrbanPulse
Product Launch,Women 18-24,Email,Fashion,Chicago,Spanish,14 Days,0.073,$237,1.61,598,23032,8.4,NovaMarket
Customer Retention,Men 35-44,LinkedIn,Beauty,Quito,English,21 Days,0.079,$331,1.27,659,24411,8.95,Altura Media
Brand Awareness,Professionals 25-45,Facebook,Travel,Miami,Spanish,45 Days,0.085,$275,0.9,722,25790,4.0,BrightWave
Increase Sales,Women 25-34,Google Ads,Finance,Austin,English,10 Days,0.103,$369,0.97,787,27169,4.55,Pixel Norte
Lead Generation,Men 45-60,YouTube,Education,Lima,Spanish,15 Days,0.025,$313,0.81,856,28548,5.1,Mercurio Labs
Product Launch,Students 18-24,TikTok,Fitness,Bogota,English,30 Days,0.031,$332,0.95,927,29927,6.05,Andes Digital
Customer Retention,Men 25-34,Instagram,Food,Mexico City,Spanish,7 Days,0.037,$351,1.05,1001,31306,6.6,BlueRoute
Brand Awareness,Parents 30-45,Email,Technology,Santiago,English,14 Days,0.043,$370,1.11,1078,32685,6.75,UrbanPulse
